Throughput,errors,elapsed,Latency,VmPeak,VmRSS,VmSize,VmHWM,VmPTE,Threads,MemFree,Buffers,Cached,Active,Inactive,Dirty,Writeback,AnonPages,Mapped,Slab,PageTables,Committed_AS,NumOfAllocFH,proc_fd
"6,62252",0.0,1.5,1.5,208652,21888,208652,,156,1,1667292,100464,755784,355516,1710616,9388,0,1179160,375652,188332,23680,5896148,7936,7904
"200,00000",0.0,1.5,1.5,208652,21888,208652,,156,1,1674872,100472,755784,355520,1709768,52,0,1179252,374588,188236,23800,5879732,7936,7936
"4,12797",0.0,40.75,1.5,208652,21888,208652,,156,1,1670900,100480,755792,355544,1709084,132,0,1177860,375680,188056,23756,5871372,7904,7904
"18,51852",0.0,54.0,3.0,208652,21888,208652,,156,1,1674780,100488,755792,355552,1706888,132,0,1176008,375092,188096,23752,5863368,7936,7904
"10,90909",0.0,34.333333333333336,2.0,208652,21888,208652,,156,1,1683804,100496,755796,355560,1705088,132,0,1174532,375596,188140,23624,5851660,7904,7904
"14,92537",0.0,5.333333333333333,1.3333333333333333,208652,21888,208652,,156,1,1675380,100504,755796,355568,1689640,132,0,1157976,374840,188276,23520,5837860,7904,7904
"2,14823",0.0,33.0,1.5,208652,21888,208652,,156,1,1678872,100512,755792,358124,1695772,176,0,1171572,375764,188108,23636,5852164,7904,7904
"3,61446",0.0,8.333333333333334,1.6666666666666667,208652,21888,208652,,156,1,1670196,100520,755796,358132,1698932,176,0,1171180,375764,187800,23188,5844180,7904,7904
"24,69136",0.0,57.5,2.5,208652,21888,208652,,156,1,1663364,100528,755796,358140,1699476,176,0,1170272,375064,187832,23148,5837560,7904,7904
"500,00000",0.0,2.0,2.0,208652,21888,208652,,156,1,1676636,100536,755800,358148,1688884,180,0,1159780,374840,187588,23372,5835132,7872,7872
"7,03235",0.0,4.4,1.4,208652,21888,208652,,156,1,1686256,100544,755800,358156,1690364,180,0,1160928,375680,188056,23376,5843400,7904,7904
"6,57895",0.0,28.0,2.0,208652,21888,208652,,156,1,1683328,100552,755804,358164,1689368,168,0,1160912,375008,187880,23208,5834564,7904,7904
"18,01802",0.0,103.0,3.5,208652,21888,208652,,156,1,1689308,100560,755804,358172,1692496,172,0,1164032,375596,187716,23204,5837492,7872,7872
"4,45931",0.0,61.5,2.25,208652,21888,208652,,156,1,1686692,100568,755804,358180,1687216,172,0,1159032,375680,187924,23204,5842880,7904,7904
"142,85714",0.0,7.0,1.0,208652,21888,208652,,156,1,1695024,100576,755808,358188,1688164,172,0,1160208,374792,187908,23308,5836828,7904,7904
"6,71141",0.0,2.0,2.0,208652,21888,208652,,156,1,1690852,100584,755808,358196,1690476,172,0,1161224,375764,187944,23200,5835160,7904,7904
"12,39669",0.0,39.66666666666666,1.6666666666666667,208652,21888,208652,,156,1,1692756,100592,755808,358204,1691420,172,0,1162792,375596,187788,23116,5827052,7872,7872
"13,76147",0.0,13.666666666666666,2.333333333333333,208652,21888,208652,,156,1,1690112,100600,755808,358212,1689648,172,0,1159992,375680,187860,23368,5836108,7904,7872
"3,60577",0.0,37.66666666666666,2.6666666666666665,208652,21888,208652,,156,1,1689608,100608,755812,358220,1692440,172,0,1163368,375680,188120,23452,5860840,7904,7904
"33,33333",0.0,31.5,2.5,208652,21888,208652,,156,1,1684852,100616,755812,358228,1690552,172,0,1163880,374840,187888,23128,5835928,7904,7904
"13,51351",0.0,74.0,2.0,208652,21888,208652,,156,1,1687404,100624,755812,358236,1691348,172,0,1165624,375700,187884,23216,5829172,7872,7872
"7,15308",0.0,25.6,3.4,208652,21888,208652,,156,1,1685444,100632,755816,358244,1693336,176,0,1164232,375596,187700,23116,5838224,7872,7872
"5,84795",0.0,48.0,2.0,208652,21888,208652,,156,1,1679368,100640,755820,358252,1694376,176,0,1165472,375092,187960,23292,5839840,7904,7904
"24,39024",0.0,39.5,1.5,208652,21888,208652,,156,1,1663308,100672,755820,358284,1709948,196,0,1181356,375596,187812,23332,5855460,7904,7904
"4,13650",0.0,48.5,3.0,208652,21888,208652,,156,1,1672332,100680,755820,358292,1712048,196,0,1183036,375680,187900,23416,5847412,7904,7904
"500,00000",0.0,2.0,2.0,208652,21888,208652,,156,1,1665432,100688,755824,358300,1710492,200,0,1182344,375644,187812,23144,5849236,7872,7872
"5,57103",0.0,45.5,1.5,208652,21888,208652,,156,1,1664424,100696,755824,358308,1709472,188,0,1180784,375596,187924,23332,5858076,7904,7904
"14,85149",0.0,38.0,1.6666666666666667,208652,21888,208652,,156,1,1672804,100704,755824,358316,1700336,8,0,1171672,374840,187740,23220,5845092,7872,7872
"13,69863",0.0,16.333333333333332,3.0,208652,21888,208652,,156,1,1669724,100712,755824,358348,1698032,28,0,1169316,375640,187868,23056,5845996,7904,7904
"2,18579",0.0,37.0,2.0,208652,21888,208652,,156,1,1690048,100720,755828,358332,1697320,28,0,1170240,374840,187772,23052,5837988,7904,7904
"3,74065",0.0,7.333333333333333,2.0,208652,21888,208652,,156,1,1686332,100728,755828,358340,1696196,28,0,1171828,375596,187856,23212,5836076,7904,7904
"13,51351",0.0,74.0,3.0,208652,21888,208652,,156,1,1678972,100736,755828,358348,1697788,28,0,1171272,375680,187856,23124,5828700,7904,7904
"6,45161",0.0,26.4,2.0,208652,21888,208652,,156,1,1678092,100744,755832,358356,1697408,28,0,1171276,374840,187984,23120,5830780,7904,7872
"5,52486",0.0,31.5,2.0,208652,21888,208652,,156,1,1687692,100752,755836,358364,1692168,32,0,1169624,374672,188248,23380,5830332,7904,7904
"80,00000",0.0,11.5,2.5,208652,21888,208652,,156,1,1679576,100760,755836,358376,1696340,32,0,1169312,375632,187912,23324,5831920,7904,7904
"4,44444",0.0,33.5,1.75,208652,21888,208652,,156,1,1677812,100768,755836,358376,1697900,28,0,1170632,374644,187876,23224,5830152,7872,7872
"58,82353",0.0,17.0,2.0,208652,21888,208652,,156,1,1679108,100776,755840,358392,1699492,32,0,1172760,375580,188032,23216,5823880,7904,7904
"6,71141",0.0,22.5,1.5,208652,21888,208652,,156,1,1676108,100784,755840,358400,1700128,40,0,1177376,375736,188040,23344,5816604,7904,7904
"15,07538",0.0,1.3333333333333333,1.3333333333333333,208652,21888,208652,,156,1,1671472,100792,755840,358400,1699000,40,0,1172112,375660,187776,23216,5808664,7872,7872
"11,19403",0.0,31.666666666666668,2.6666666666666665,208652,21888,208652,,156,1,1682600,100800,755840,358416,1700548,40,0,1172992,374604,187864,23264,5809544,7872,7872
"2,05339",0.0,37.5,3.0,208652,21888,208652,,156,1,1675708,100808,755844,358424,1701936,40,0,1175216,375568,187876,23160,5810180,7872,7872
"3,61011",0.0,25.666666666666668,1.6666666666666667,208652,21888,208652,,156,1,1681840,100816,755844,358428,1699540,40,0,1172148,375680,187980,23140,5811384,7904,7904
"50,00000",0.0,24.0,1.0,208652,21888,208652,,156,1,1708460,100824,755844,358436,1664160,40,0,1137068,374756,188052,23220,5812080,7904,7904
"66,66667",0.0,15.0,2.0,208652,21888,208652,,156,1,1701532,100832,755848,358440,1666752,40,0,1139628,375604,187856,23292,5803964,7904,7904
"5,43478",0.0,65.5,2.0,208652,21888,208652,,156,1,1710808,100840,755848,358448,1655556,40,0,1128548,375748,188024,23072,5804612,7904,7904
"500,00000",0.0,1.5,1.5,208652,21888,208652,,156,1,1704548,100848,755852,358460,1656668,44,0,1129988,375512,188036,23224,5811372,7872,7872
"4,43951",0.0,9.25,1.75,208652,21888,208652,,156,1,1718108,100856,755852,358472,1652164,36,0,1125504,375752,187964,23244,5813944,7872,7872
"52,63158",0.0,19.0,2.0,208652,21888,208652,,156,1,1725208,100864,755856,358480,1653356,40,0,1128108,374636,187988,23112,5805792,7904,7904
"5,49451",0.0,60.0,2.0,208652,21888,208652,,156,1,1718140,100872,755856,358480,1656600,40,0,1130072,374860,187908,23380,5813028,7904,7904
"13,88889",0.0,7.666666666666667,1.6666666666666667,208652,21888,208652,,156,1,1712656,100880,755856,358492,1656388,40,0,1129308,374996,188068,23156,5815532,7872,7872
"12,82051",0.0,21.666666666666668,1.3333333333333333,208652,21888,208652,,156,1,1718452,100888,755860,358500,1651796,40,0,1125632,375640,188048,23308,5822792,7872,7872
"2,21729",0.0,38.0,2.0,208652,21888,208652,,156,1,1721472,100896,755860,358504,1651776,40,0,1128364,375704,188044,23236,5815832,7872,7872
"3,73134",0.0,6.666666666666667,2.0,208652,21888,208652,,156,1,1715120,100904,755860,358516,1654808,40,0,1129880,375680,188296,23308,5807068,7904,7904
"41,66667",0.0,24.5,1.5,208652,21888,208652,,156,1,1697224,100912,755860,358524,1670792,40,0,1145680,374840,187996,23204,5821276,7904,7872
"250,00000",0.0,4.0,1.0,208652,21888,208652,,156,1,1704792,100920,755864,358532,1667968,40,0,1143120,375764,188064,23252,5822896,7872,7872
"6,86813",0.0,71.0,2.4,208652,21888,208652,,156,1,1697496,100928,755864,358540,1670512,40,0,1144932,375628,188208,23180,5813988,7872,7872
"6,51466",0.0,9.0,1.5,208652,21888,208652,,156,1,1694400,100936,755864,358548,1671772,4,0,1147892,375772,188048,23412,5832544,7904,7904
"4,34311",0.0,18.75,1.25,208652,21888,208652,,156,1,1701572,100944,755868,358552,1663032,24,0,1138720,374808,188144,23136,5811656,7872,7872
"500,00000",0.0,2.0,2.0,208652,21888,208652,,156,1,1714688,100952,755872,358564,1659316,28,0,1134904,375680,188128,23272,5803924,7872,7872
"6,49351",0.0,15.5,2.0,208652,21888,208652,,156,1,1707044,100960,755872,358572,1662260,28,0,1136740,374588,188040,23252,5805596,7872,7872
"12,24490",0.0,31.33333333333333,1.0,208652,21888,208652,,156,1,1704676,100968,755872,358580,1662036,28,0,1141264,375680,188200,23408,5812904,7904,7904
"14,49275",0.0,5.0,2.333333333333333,208652,21888,208652,,156,1,1706896,100976,755876,358588,1663228,28,0,1138560,375764,188348,23564,5815384,7936,7904
"2,16920",0.0,9.5,2.0,208652,21888,208652,,156,1,1702428,100984,755876,358596,1665960,32,0,1140988,375596,188432,23228,5811104,7904,7904
"3,72671",0.0,35.0,2.0,208652,21888,208652,,156,1,1708828,100992,755876,358604,1661200,32,0,1137284,375680,187968,23232,5811640,7904,7904
"30,76923",0.0,46.5,3.0,208652,21888,208652,,156,1,1704132,101000,755880,358612,1664296,32,0,1139352,375596,188096,23320,5795160,7872,7872
"25,00000",0.0,40.0,2.0,208652,21888,208652,,156,1,1697792,101008,755880,358620,1667188,32,0,1142660,375648,188212,23256,5805500,7904,7904
"6,88705",0.0,41.6,1.8,208652,21888,208652,,156,1,1703048,101016,755880,358628,1663144,28,0,1138324,376724,187820,23132,5806588,7872,7872
"6,51466",0.0,4.5,1.5,208652,21888,208652,,156,1,1715596,101024,755880,358636,1660712,32,0,1135844,375764,187736,23244,5800372,7904,7904
"83,33333",0.0,10.5,2.0,208652,21888,208652,,156,1,1724300,101032,755888,358644,1660496,44,0,1135064,375092,187992,23328,5807448,7904,7904
"4,44939",0.0,16.25,2.5,208652,21888,208652,,156,1,1721236,101040,755888,358652,1654772,44,0,1130644,375688,187788,23216,5800400,7904,7904
"6,71141",0.0,2.0,2.0,208652,21888,208652,,156,1,1716932,101048,755888,358660,1656992,44,0,1134456,375680,187948,23320,5799948,7904,7872
"14,01869",0.0,11.666666666666666,1.6666666666666667,208652,21888,208652,,156,1,1715252,101056,755896,358668,1656112,48,0,1132860,374840,188060,23408,5809956,7904,7904
"14,49275",0.0,3.6666666666666665,1.0,208652,21888,208652,,156,1,1721804,101064,755896,358676,1649352,36,0,1127568,375680,187908,23152,5791920,7904,7904
"2,08117",0.0,63.0,2.0,208652,21888,208652,,156,1,1716448,101072,755896,358680,1651384,44,0,1130344,375212,187676,23180,5792940,7872,7872
"3,75000",0.0,14.333333333333334,1.0,208652,21888,208652,,156,1,1717096,101080,755896,358688,1655940,44,0,1132740,374932,187808,23332,5794720,7904,7904
"100,00000",0.0,9.0,2.0,208652,21888,208652,,156,1,1713608,101088,755900,358704,1659352,44,0,1135996,375768,187840,23244,5794948,7904,7904
"1000,00000",0.0,1.0,1.0,208652,21888,208652,,156,1,1724748,101096,755900,358708,1651412,40,0,1128252,374856,187792,23288,5803852,7904,7904
"7,13267",0.0,19.2,1.6,208652,21888,208652,,156,1,1729132,101104,755900,358716,1654296,40,0,1130264,375652,187792,23312,5786800,7872,7872
"6,60066",0.0,11.5,2.5,208652,21888,208652,,156,1,1724076,101112,755904,358724,1659004,48,0,1135540,375612,187980,23160,5794856,7904,7904
"33,89831",0.0,52.5,1.5,208652,21888,208652,,156,1,1720840,101120,755900,358724,1659628,48,0,1135944,375100,187952,23164,5788808,7872,7872
"4,45931",0.0,23.0,2.0,208652,21888,208652,,156,1,1719248,101128,755904,358740,1655864,48,0,1132744,375596,187988,23416,5798364,7904,7872
"55,55556",0.0,18.0,3.0,208652,21888,208652,,156,1,1723704,101136,755904,358748,1658104,44,0,1135684,375680,187880,23244,5799380,7904,7904
"6,80272",0.0,6.0,2.0,208652,21888,208652,,156,1,1716044,101144,755908,358756,1661164,48,0,1138036,375680,187992,23328,5800880,7904,7904
"12,04819",0.0,37.66666666666666,2.6666666666666665,208652,21888,208652,,156,1,1717220,101152,755912,358764,1663396,52,0,1139488,374524,188012,23136,5798772,7872,7872
"2,22222",0.0,17.0,1.5,208652,21888,208652,,156,1,1706744,101160,755912,358772,1666680,52,0,1144344,375588,187920,23268,5801240,7872,7872
"3,72671",0.0,4.0,1.6666666666666667,208652,21888,208652,,156,1,1715228,101168,755916,358780,1661472,8,0,1138260,375680,187860,23428,5792988,7904,7904
"86,95652",0.0,10.5,2.0,208652,21888,208652,,156,1,1712004,101176,755916,358788,1663640,28,0,1140608,374504,187840,23424,5805764,7904,7904
"500,00000",0.0,2.0,2.0,208652,21888,208652,,156,1,1709288,101184,755916,358796,1667500,24,0,1143348,375680,187752,23344,5803604,7904,7904
"7,11238",0.0,2.6,1.2,208652,21888,208652,,156,1,1708532,101192,755916,358804,1666880,32,0,1146212,375680,187796,23260,5794468,7872,7872
"6,62252",0.0,6.0,1.5,208652,21888,208652,,156,1,1709288,101200,755920,358812,1661172,32,0,1140008,375596,187988,23344,5804812,7904,7904
"2000,00000",0.0,1.0,1.0,208652,21888,208652,,156,1,1721520,101208,755920,358820,1657348,32,0,1134024,375604,187760,23196,5795732,7872,7872
"4,18410",0.0,38.75,2.0,208652,21888,208652,,156,1,1726976,101216,755904,358832,1659436,32,0,1135368,375560,188080,23372,5807056,7904,7904
"500,00000",0.0,2.0,2.0,208652,21888,208652,,156,1,1718672,101224,755924,358852,1661500,40,0,1137836,374824,187812,23152,5798672,7904,7872
"5,47945",0.0,42.5,2.0,208652,21888,208652,,156,1,1720888,101232,755924,358844,1662040,44,0,1138540,375712,188072,23180,5807456,7904,7904
"12,44813",0.0,39.333333333333336,1.6666666666666667,208652,21888,208652,,156,1,1721672,101240,755924,358852,1656212,48,0,1132408,375680,187828,23352,5809788,7904,7904
"10,10101",0.0,69.66666666666667,2.6666666666666665,208652,21888,208652,,156,1,1722244,101248,755928,358860,1659204,56,0,1135852,375580,187792,23432,5812016,7904,7904
"3,69004",0.0,13.666666666666666,1.3333333333333333,208652,21888,208652,,156,1,1714504,101256,755932,358868,1662796,56,0,1139124,375340,187752,23548,5814228,7904,7904
"30,76923",0.0,41.0,2.5,208652,21888,208652,,156,1,1705872,101264,755932,358876,1663880,52,0,1140604,375596,188004,23364,5816052,7904,7872
"13,69863",0.0,73.0,2.0,208652,21888,208652,,156,1,1718804,101272,755932,358880,1656696,52,0,1135280,375644,188100,23328,5815956,7872,7872
"6,49351",0.0,33.6,2.8,208652,21888,208652,,156,1,1709476,101280,755936,358892,1659996,52,0,1136548,374532,187920,23276,5816336,7904,7904
"6,19195",0.0,10.5,2.0,208652,21888,208652,,156,1,1706704,101288,755936,358900,1662296,52,0,1139020,375540,187920,23196,5817448,7904,7904
"1000,00000",0.0,1.0,1.0,208652,21888,208652,,156,1,1704252,101296,755936,358908,1664400,52,0,1140868,375672,188036,23368,5818548,7904,7904
"4,45434",0.0,16.75,1.5,208652,21888,208652,,156,1,1715372,101304,755936,358916,1660216,52,0,1137176,375680,187780,23284,5826120,7904,7904
"16,39344",0.0,61.0,2.0,208652,21888,208652,,156,1,1710568,101312,755940,358924,1662676,52,0,1140932,375680,188048,23376,5821108,7904,7904
"6,02410",0.0,21.0,2.0,208652,21888,208652,,156,1,1704888,101320,755940,358932,1665640,52,0,1142856,374848,188016,23352,5820468,7872,7872
"12,34568",0.0,38.333333333333336,1.6666666666666667,208652,21888,208652,,156,1,1705092,101328,755940,358960,1667204,52,0,1143752,375740,188112,23384,5820184,7872,7872
"10,94891",0.0,41.333333333333336,2.6666666666666665,208652,21888,208652,,156,1,1709404,101336,755944,358948,1657056,52,0,1133776,375680,188024,23288,5821980,7872,7872
"2,21484",0.0,10.0,1.5,208652,21888,208652,,156,1,1696808,101344,755944,358956,1671052,52,0,1148204,374588,188136,23408,5835400,7872,7872
"3,54191",0.0,33.666666666666664,1.6666666666666667,208652,21888,208652,,156,1,1698212,101352,755948,358964,1678564,56,0,1154520,375428,187848,23380,5830220,7904,7904
"500,00000",0.0,2.0,2.0,208652,21888,208652,,156,1,1694528,101360,755948,358968,1681244,56,0,1158460,375692,188028,23436,5830480,7904,7872
"7,17360",0.0,14.8,2.0,208652,21888,208652,,156,1,1692524,101368,755952,358980,1684764,56,0,1161744,375084,187968,23500,5839056,7904,7904
"6,60066",0.0,8.5,2.0,208652,21888,208652,,156,1,1703560,101376,755952,358988,1666380,56,0,1143704,375688,188056,23424,5821508,7936,7872
"86,95652",0.0,11.0,2.0,208652,21888,208652,,156,1,1699612,101384,755952,358996,1669372,52,0,1147432,375596,188228,23308,5830908,7904,7904
"4,37637",0.0,64.5,2.75,208652,21888,208652,,156,1,1688944,101392,755956,359004,1674660,52,0,1151872,375680,188112,23316,5838920,7872,7872
"200,00000",0.0,5.0,1.0,208652,21888,208652,,156,1,1694628,101400,755956,359012,1675940,52,0,1152324,375764,188284,23316,5831828,7904,7904
"6,71141",0.0,6.5,2.0,208652,21888,208652,,156,1,1699516,101408,755956,359020,1666136,28,0,1142788,375596,187896,23396,5830980,7904,7904
"14,56311",0.0,28.33333333333333,1.6666666666666667,208652,21888,208652,,156,1,1695872,101416,755956,359028,1669952,36,0,1146600,375680,188152,23228,5823684,7872,7872
"11,71875",0.0,48.0,2.0,208652,21888,208652,,156,1,1700720,101424,755960,359036,1669248,36,0,1146104,375664,188052,23244,5831156,7872,7872
"2,18579",0.0,14.5,2.0,208652,21888,208652,,156,1,1694744,101432,755968,359044,1672700,40,0,1149288,375712,188128,23272,5825540,7904,7904
"3,66300",0.0,5.333333333333333,1.3333333333333333,208652,21888,208652,,156,1,1701720,101440,755960,359052,1673488,40,0,1150116,375680,188144,23408,5824400,7872,7872
"105,26316",0.0,12.0,4.0,208652,21888,208652,,156,1,1699464,101448,755964,359060,1666644,40,0,1142668,375764,188144,23240,5843468,7872,7872
"1000,00000",0.0,1.0,1.0,208652,21888,208652,,156,1,1697512,101456,755968,359068,1665372,44,0,1142952,375680,188084,23412,5837556,7904,7904
"6,53595",0.0,11.5,2.0,208652,21888,208652,,156,1,1695440,101464,755968,359076,1662252,40,0,1138752,375680,188040,23324,5837576,7904,7904
"52,63158",0.0,20.0,1.5,208652,21888,208652,,156,1,1694252,101472,755968,359088,1666916,48,0,1142996,375592,188200,23392,5839124,7904,7904
"4,45434",0.0,18.25,1.5,208652,21888,208652,,156,1,1712588,101480,755972,359092,1661972,48,0,1138576,375676,188100,23436,5841716,7872,7872
"142,85714",0.0,7.0,2.0,208652,21888,208652,,156,1,1702996,101488,755972,359096,1665384,48,0,1141748,375604,188240,23292,5851696,7872,7872
"6,77966",0.0,1.5,1.5,208652,21888,208652,,156,1,1696960,101496,755972,359108,1668748,48,0,1147536,374672,188200,23328,5837624,7872,7872
"15,30612",0.0,36.0,1.3333333333333333,208652,21888,208652,,156,1,1689400,101504,755976,359120,1675440,44,0,1153212,375656,188144,23480,5840276,7904,7904
"10,34483",0.0,64.66666666666667,3.0,208652,21888,208652,,156,1,1705208,101512,755976,359124,1662924,48,0,1141592,374992,188120,23368,5851736,7904,7904
"2,18341",0.0,13.5,2.5,208652,21888,208652,,156,1,1698668,101520,755976,359132,1668752,48,0,1146264,375680,188248,23360,5851544,7904,7904
"3,55872",0.0,22.666666666666668,1.6666666666666667,208652,21888,208652,,156,1,1694748,101528,755976,359140,1672080,48,0,1148716,375596,188112,23360,5853112,7904,7904
"54,05405",0.0,18.5,1.0,208652,21888,208652,,156,1,1699488,101536,755980,359148,1674628,48,0,1155456,375680,188376,23420,5852168,7872,7872
"58,82353",0.0,17.0,2.0,208652,21888,208652,,156,1,1706624,101544,755980,359156,1670456,48,0,1146808,375680,188324,23360,5845828,7904,7872
"7,10227",0.0,26.0,1.8,208652,21888,208652,,156,1,1683716,101552,755984,359164,1688288,56,0,1165272,374924,188188,23476,5867424,7904,7872
"6,64452",0.0,11.5,2.5,208652,21888,208652,,156,1,1679936,101560,755988,359172,1692492,56,0,1168952,375680,188260,23312,5870656,7872,7904
"4,44939",0.0,15.25,1.0,208652,21888,208652,,156,1,1676408,101568,755988,359180,1686680,56,0,1165532,375596,188220,23392,5871208,7872,7872
"500,00000",0.0,2.0,2.0,208652,21888,208652,,156,1,1691404,101576,755988,359188,1671788,56,0,1148552,375720,188000,23408,5871864,7872,7872
"5,79710",0.0,26.5,2.0,208652,21888,208652,,156,1,1699232,101584,755988,359196,1671620,48,0,1148624,374844,188256,23256,5870880,7904,7872
"13,04348",0.0,23.0,1.0,208652,21888,208652,,156,1,1689336,101592,755992,359208,1675928,52,0,1156880,375660,188016,23360,5870336,7872,7872
"14,70588",0.0,8.666666666666666,1.0,208652,21888,208652,,156,1,1692464,101600,755992,359216,1667520,52,0,1144072,375664,187908,23320,5851596,7872,7872
"2,08986",0.0,36.0,2.0,208652,21888,208652,,156,1,1700224,101608,755992,359220,1665176,52,0,1141600,375680,187820,23368,5858780,7904,7904
"3,65854",0.0,6.333333333333333,1.6666666666666667,208652,21888,208652,,156,1,1703828,101616,755996,359228,1661828,52,0,1139264,375680,188192,23452,5860072,7904,7904
"250,00000",0.0,4.5,1.0,208652,21888,208652,,156,1,1696588,101624,755996,359236,1666112,52,0,1143004,375680,187968,23284,5859800,7904,7872
"1000,00000",0.0,1.0,1.0,208652,21888,208652,,156,1,1696660,101632,755996,359244,1665744,4,0,1146772,375680,187948,23276,5857056,7872,7872
"7,05219",0.0,5.0,2.2,208652,21888,208652,,156,1,1691000,101640,755988,359244,1661448,4,0,1138028,375680,187808,23196,5857056,7904,7872
"5,63380",0.0,28.5,3.5,208652,21888,208652,,156,1,1693740,101648,756000,359260,1668788,36,0,1146064,375680,187932,23444,5857444,7904,7872
"21,73913",0.0,83.0,3.5,208652,21888,208652,,156,1,1696840,101656,756004,359268,1666892,44,0,1143512,375680,187820,23072,5849112,7872,7872
"4,45434",0.0,1.25,1.25,208652,21888,208652,,156,1,1690932,101664,756004,359276,1672016,44,0,1148680,375344,187904,23240,5840980,7872,7872
"6,71141",0.0,38.0,2.5,208652,21888,208652,,156,1,1685708,101672,756008,359284,1667996,48,0,1145076,375680,187920,23324,5848900,7904,7904
"14,42308",0.0,17.666666666666668,1.6666666666666667,208652,21888,208652,,156,1,1685484,101680,756008,359292,1672788,48,0,1148444,375680,187700,23332,5851204,7904,7904
"13,39286",0.0,27.0,1.3333333333333333,208652,21888,208652,,156,1,1679744,101688,756008,359300,1672660,48,0,1149488,375764,187732,23336,5845484,7872,7872
"2,16450",0.0,14.0,1.5,208652,21888,208652,,156,1,1682856,101696,756012,359308,1686892,48,0,1163196,375680,187924,23376,5875352,7872,7872
"3,70828",0.0,2.0,2.0,208652,21888,208652,,156,1,1680884,101704,756012,359316,1678504,48,0,1155568,375596,187876,23408,5878096,7872,7872
"55,55556",0.0,34.5,2.5,208652,21888,208652,,156,1,1680884,101712,756012,359324,1684724,44,0,1161628,375680,187724,23296,5869300,7904,7904
"1000,00000",0.0,1.0,1.0,208652,21888,208652,,156,1,1677916,101720,756012,359336,1686560,48,0,1163232,374912,187724,23560,5880960,7872,7936
"7,02247",0.0,15.8,2.0,208652,21888,208652,,156,1,1699580,101728,756016,359340,1668120,48,0,1145616,375680,187900,23300,5867116,7904,7904
"5,97015",0.0,25.5,2.0,208652,21888,208652,,156,1,1701764,101736,756016,359348,1663904,48,0,1140980,375668,187812,23432,5867864,7904,7904
"20,20202",0.0,92.0,3.5,208652,21888,208652,,156,1,1696628,101744,756016,359364,1671632,48,0,1149856,375616,187800,23276,5859396,7872,7872
"4,17973",0.0,18.5,1.25,208652,21888,208652,,156,1,1685320,101752,756024,359364,1679308,48,0,1155704,374588,187616,23264,5860976,7904,7872
"500,00000",0.0,2.0,2.0,208652,21888,208652,,156,1,1697468,101760,756024,359372,1666252,48,0,1142056,375092,187836,23260,5858340,7872,7872
